,run,seed,beta,phi,phiT,phiU,deltaS,gH,gF
76776,76776,588992021.0,0.163643,0.027491,0.149503,0.362482,0.570379,0.035432,0.102623
76942,76942,-2001031457.0,0.168483,0.053297,0.123581,0.351356,0.651829,0.032859,0.368882
77280,77280,2047810435.0,0.163474,0.061114,0.106329,0.165183,0.364336,0.029007,0.490636
77403,77403,-694450261.0,0.209625,0.174058,0.027156,0.33171,0.473512,0.041761,0.370922
77980,77980,749074185.0,0.17956,0.089733,0.034098,0.332509,0.97954,0.018268,0.426197
78419,78419,-1685366597.0,0.229536,0.150677,0.050372,0.262403,0.501497,0.046059,0.11642
79163,79163,-1652697285.0,0.164642,0.089027,0.044381,0.382555,0.654906,0.045167,0.199965
79204,79204,-1309082408.0,0.201855,0.28464,0.017704,0.263976,0.675311,0.028211,0.35356
79301,79301,-565491692.0,0.157519,0.052476,0.114567,0.323471,0.68346,0.031213,0.466788
79349,79349,635204241.0,0.170357,0.166225,0.036632,0.393733,0.794691,0.051642,0.351673
79383,79383,15265591.0,0.153287,0.058179,0.106377,0.309318,0.449403,0.049198,0.263727
79441,79441,585827305.0,0.183704,0.053986,0.12948,0.318087,0.668887,0.05511,0.304072
79518,79518,1837612937.0,0.201912,0.153689,0.050291,0.361672,0.656848,0.058863,0.188031
79808,79808,-1022826626.0,0.176489,0.03599,0.096283,0.323568,0.69665,0.023663,0.140291
79815,79815,-2107812619.0,0.196394,0.066984,0.137232,0.234078,0.329993,0.028678,0.157591
79960,79960,-1465978050.0,0.185412,0.085877,0.069726,0.228781,0.138639,0.040276,0.402776
80123,80123,855865261.0,0.179158,0.099156,0.046757,0.265665,0.535334,0.019861,0.121571
80231,80231,-1100658828.0,0.217945,0.270017,0.019412,0.246471,0.594738,0.026364,0.283204
80252,80252,1419897821.0,0.181493,0.084069,0.086152,0.348809,0.672642,0.046651,0.293859
80718,80718,-582697927.0,0.184097,0.079163,0.127394,0.219115,0.083239,0.053337,0.120708
81120,81120,-965484520.0,0.165958,0.106237,0.041551,0.218689,0.997215,0.018498,0.42857
81828,81828,-703459983.0,0.171938,0.216168,0.051271,0.107002,0.024339,0.047223,0.16923
81866,81866,1873519081.0,0.161399,0.103886,0.075447,0.3,0.687583,0.035698,0.308056
82016,82016,1596206293.0,0.1835,0.097008,0.105126,0.124106,0.187584,0.049981,0.427672
82191,82191,1191853962.0,0.198756,0.056808,0.084068,0.311404,0.621734,0.033634,0.462804
82338,82338,380137435.0,0.182274,0.157727,0.024897,0.361746,0.664455,0.037018,0.39404
82423,82423,2123873163.0,0.20599,0.233942,0.029738,0.421849,0.745723,0.046558,0.211468
82441,82441,-890766412.0,0.184972,0.284726,0.01764,0.287759,0.523252,0.031321,0.368293
82528,82528,-663500982.0,0.171571,0.135035,0.049974,0.316652,0.593075,0.033075,0.233574
82538,82538,-164083927.0,0.179182,0.131455,0.076523,0.200436,0.404904,0.053976,0.242394
82639,82639,-1517564666.0,0.20126,0.222154,0.02739,0.417739,0.638264,0.05034,0.359509
82644,82644,-1483198093.0,0.159659,0.066818,0.097657,0.201541,0.54822,0.020413,0.181273
